betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
5,3,10,0.987061772022907,1.02519795029707,0.86690935698157,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,3,16,0.5,0.351838313442782,1,1,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
6,1,0,0.687288379139269,1,0.973882410795016,0.816387902144522,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,2,1,0.983405316867121,0.0662945551308351,0.816387902144522,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,2,2,0.983405316867121,0.687288379139269,0.816387902144522,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,2,8,0.607250602077757,0.620993824008434,0.990695828228282,0.903541865186402,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,3,2,0.5,0.00628853196005614,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,3,3,0.5,0.130388835990007,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,3,4,0.5,0.675883046266544,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,3,9,0.989203828505721,0.0952801400145801,0.903541865186402,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,3,10,0.989203828505721,0.98778750178723,0.903541865186402,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
6,3,16,0.5,0.340724619536058,1,1,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.903541865186402,1,0.0964581348135982,0,0
7,1,0,0.809152132182684,1,0.815615392613592,0.526713324222774,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.725750180311913,1,0.274249819688087,0,0
